Date,Open,High,Low,Close,Adj Close,Volume
1999-05-01,76.000000,77.250000,63.062500,67.937500,54.519974,60491600
1999-06-01,66.625000,72.250000,60.500000,72.250000,57.980778,23380400
1999-07-01,71.375000,71.437500,63.187500,64.312500,51.610920,13938000
1999-08-01,64.250000,65.000000,55.187500,59.812500,47.999676,18801100
1999-09-01,60.562500,64.437500,57.437500,61.000000,49.058109,18630500
1999-10-01,61.000000,73.750000,57.937500,71.000000,57.100414,21186400
1999-11-01,70.500000,83.000000,68.312500,75.125000,60.535507,17360600
1999-12-01,74.750000,94.812500,74.750000,94.187500,75.896011,17003400
2000-01-01,94.187500,94.375000,78.375000,91.625000,73.831161,19531500
2000-02-01,92.875000,94.000000,80.687500,92.500000,74.638527,18721100
2000-03-01,93.250000,128.000000,93.187500,105.250000,84.926537,35059300
2000-04-01,108.750000,110.812500,79.437500,93.250000,75.243660,41328400
2000-05-01,93.250000,101.625000,69.375000,73.562500,59.433884,41825300
2000-06-01,74.562500,95.937500,73.625000,94.781250,76.577286,36702400
2000-07-01,94.375000,106.937500,88.375000,98.687500,79.733299,29921400
2000-08-01,99.000000,129.500000,97.000000,129.500000,104.752617,53400600
2000-09-01,128.000000,133.625000,105.750000,114.062500,92.265228,37402600
2000-10-01,113.125000,116.875000,90.875000,99.812500,80.738388,54636500
2000-11-01,96.750000,101.625000,77.000000,82.125000,66.512428,40827600
2000-12-01,82.125000,108.375000,80.250000,106.937500,86.607834,55874100
2001-01-01,104.375000,120.000000,97.500000,113.750000,92.125252,67405500
2001-02-01,114.900002,118.849998,90.250000,91.750000,74.388756,59505300
2001-03-01,89.400002,97.500000,81.000000,85.099998,68.997116,93130100
2001-04-01,85.099998,102.500000,77.000000,91.099998,73.861732,70863700
2001-05-01,90.000000,105.150002,89.290001,95.099998,77.199715,53616900
2001-06-01,95.489998,98.139999,84.500000,85.800003,69.650208,53906100
2001-07-01,85.949997,88.000000,80.000000,83.160004,67.507103,50417900
2001-08-01,83.500000,87.500000,75.050003,80.099998,65.115417,59785700
2001-09-01,79.949997,81.449997,63.270000,71.349998,58.002289,59324200
2001-10-01,71.360001,86.500000,71.000000,78.160004,63.538311,82618800
2001-11-01,78.500000,92.750000,77.309998,89.000000,72.458466,58203800
2001-12-01,88.000000,95.169998,85.550003,92.750000,75.511490,51124600
2002-01-01,92.800003,97.250000,81.599998,86.980003,70.813934,81933000
2002-02-01,86.489998,86.500000,77.519997,80.940002,65.985847,70296800
2002-03-01,81.500000,92.250000,80.849998,90.250000,73.575768,60265000
2002-04-01,89.400002,89.449997,75.800003,78.750000,64.200478,77215300
2002-05-01,78.550003,82.099998,74.000000,75.449997,61.605907,71135300
2002-06-01,75.449997,77.019997,69.029999,73.349998,59.891235,72219000
2002-07-01,73.750000,77.000000,65.550003,73.150002,59.727905,205190100
2002-08-01,73.150002,81.970001,67.750000,77.300003,63.225906,102812600
2002-09-01,76.059998,76.099998,64.489998,66.029999,54.007866,99519100
2002-10-01,66.500000,75.349998,58.570000,71.599998,58.563725,134795100
2002-11-01,71.599998,81.000000,71.000000,78.870003,64.614456,78057400
2002-12-01,78.879997,80.900002,67.000000,68.099998,55.791103,72327100
2003-01-01,68.099998,75.750000,66.949997,68.099998,55.887783,77425600
2003-02-01,68.099998,69.750000,63.750000,69.449997,57.090927,69664000
2003-03-01,69.449997,72.099998,61.020000,68.080002,55.964748,109285900
2003-04-01,68.480003,78.900002,68.059998,75.900002,62.393112,90997300
2003-05-01,75.900002,81.669998,73.220001,81.500000,67.100677,85129900
2003-06-01,81.500000,91.980003,81.500000,83.750000,68.953186,110702900
2003-07-01,83.750000,90.349998,82.360001,87.139999,71.744232,82517900
2003-08-01,86.949997,89.099998,82.900002,88.489998,73.069603,57362700
2003-09-01,88.540001,93.739998,83.639999,83.900002,69.279472,94609600
2003-10-01,83.900002,94.889999,83.900002,93.900002,77.536858,86386800
2003-11-01,94.650002,97.389999,91.699997,96.080002,79.567001,55681200
2003-12-01,96.230003,100.779999,95.730003,98.730003,81.761551,63304000
2004-01-01,98.800003,102.750000,96.150002,99.550003,82.440643,80373300
2004-02-01,99.230003,108.000000,98.430000,105.870003,87.892654,61639800
2004-03-01,107.300003,109.290001,98.379997,104.349998,86.630775,86538200
2004-04-01,104.239998,107.500000,96.309998,96.750000,80.321304,67727300
2004-05-01,96.949997,98.500000,90.080002,93.910004,78.155495,89214200
2004-06-01,93.800003,95.150002,87.680000,94.160004,78.363548,89079100
2004-07-01,94.169998,94.349998,85.720001,88.190002,73.395081,78642000
2004-08-01,87.779999,91.570000,83.290001,89.650002,74.823280,71437600
2004-09-01,89.849998,94.959999,88.889999,93.239998,77.819588,67196300
2004-10-01,93.459999,98.449997,90.739998,98.379997,82.109459,72722800
2004-11-01,98.199997,105.589996,97.800003,104.760002,87.671692,67544700
2004-12-01,105.250000,110.879997,103.000000,104.040001,87.069122,76486500
2005-01-01,104.900002,107.970001,101.790001,107.849998,90.257660,74547600
2005-02-01,107.650002,113.930000,107.300003,108.800003,91.273399,56697300
2005-03-01,108.389999,113.169998,107.500000,109.989998,92.271667,76524300
2005-04-01,110.739998,114.250000,103.209999,106.790001,89.587166,101950900
2005-05-01,105.849998,107.290001,94.750000,97.500000,81.988708,117093700
2005-06-01,97.400002,104.959999,96.430000,102.019997,85.789604,94605900
2005-07-01,102.169998,109.980003,102.019997,107.480003,90.380974,63424600
2005-08-01,107.599998,114.870003,106.690002,111.180000,93.708755,59458100
2005-09-01,111.699997,121.699997,111.599998,121.580002,102.474487,75008400
2005-10-01,121.290001,127.379997,110.230003,126.370003,106.511749,105098700
2005-11-01,126.699997,134.990005,124.800003,128.960007,108.919418,60948900
2005-12-01,130.500000,134.160004,124.339996,127.709999,107.863655,62056200
2006-01-01,126.699997,141.860001,124.230003,141.250000,119.299545,87171600
2006-02-01,141.399994,146.350006,137.800003,141.289993,119.556717,63470300
2006-03-01,141.979996,159.630005,139.179993,156.960007,132.816376,104268100
2006-04-01,157.990005,169.309998,156.919998,160.289993,135.634048,78063800
2006-05-01,160.300003,166.550003,140.419998,150.949997,127.996552,109492500
2006-06-01,150.919998,157.000000,136.789993,150.429993,127.555618,139219300
2006-07-01,151.929993,153.729996,138.970001,152.750000,129.522827,89186400
2006-08-01,151.630005,156.869995,145.660004,148.649994,126.350937,86544500
2006-09-01,148.699997,171.149994,147.130005,169.169998,143.792709,105586500
2006-10-01,168.509995,193.600006,168.509995,189.789993,161.319427,118997500
2006-11-01,191.000000,203.350006,182.699997,194.800003,165.895294,93586900
2006-12-01,195.699997,206.699997,191.520004,199.350006,169.770111,92344800
2007-01-01,200.600006,220.509995,197.820007,212.160004,180.679352,132539600
2007-02-01,213.440002,222.750000,194.649994,201.750000,172.101334,119592400
2007-03-01,197.119995,212.220001,189.850006,206.630005,176.264160,227470100
2007-04-01,207.669998,226.610001,203.289993,218.610001,186.483551,110794200
2007-05-01,219.080002,233.970001,215.350006,230.820007,197.213974,112049300
2007-06-01,232.080002,233.639999,212.559998,216.750000,185.192444,147822700
2007-07-01,217.500000,225.770004,187.250000,188.339996,160.918777,198394200
2007-08-01,187.029999,198.500000,157.380005,176.009995,150.654266,384073300
2007-09-01,176.179993,218.669998,175.000000,216.740005,185.516647,245168100
2007-10-01,215.410004,250.699997,213.000000,247.919998,212.204865,227631800
2007-11-01,243.550003,244.410004,201.570007,226.639999,194.292618,294444500
2007-12-01,226.089996,229.350006,196.899994,215.050003,184.356842,214258500
2008-01-01,214.800003,215.050003,175.419998,199.550003,171.069031,273646200
2008-02-01,199.149994,208.779999,169.000000,169.630005,145.675323,227080500
2008-03-01,169.289993,184.520004,140.270004,165.389999,142.034164,369718000
2008-04-01,171.490005,194.929993,161.679993,191.369995,164.345261,226867500
